PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
86.111061,235.369553,49.179340,-0.233857,0.698832,0.675977,-0.775254,0.285559,-0.563416,82.243074,293.981235,42.070716,55.829744,290.291586,57.700935,88.264406,264.298618,72.824003,92.113948,244.977426,74.598289,83.144405,233.576010,78.422300,2
87.816124,246.102295,44.287971,-0.314953,0.576231,0.754164,-0.748816,0.337367,-0.570490,74.429478,296.943994,54.856236,55.982707,295.804370,54.744301,83.207524,270.219092,66.154518,92.917644,250.970264,71.218990,86.311998,244.070532,67.754201,2
87.810280,250.733551,41.768414,-0.285343,0.592414,0.753409,-0.739076,0.364473,-0.566504,76.857893,299.899738,53.554998,57.420522,300.984991,50.221496,81.046754,277.661066,62.753579,93.177364,256.056842,69.105550,85.817323,248.295404,67.121206,2
88.133789,259.954865,37.830746,-0.275784,0.612811,0.740545,-0.755689,0.337894,-0.561036,75.334631,307.118488,47.936071,41.974380,315.974078,27.299633,82.994672,286.342462,58.419189,93.354315,266.653082,64.809307,86.142200,258.851740,63.074529,2
87.099525,272.461426,31.245203,-0.223656,0.591567,0.774614,-0.706648,0.448951,-0.546893,74.829640,316.458105,47.022255,41.587347,332.002490,8.603207,74.493336,306.422534,50.351403,92.293562,278.342944,60.026598,84.643062,271.235815,57.369585,2
86.049675,283.301056,25.466419,-0.184861,0.582803,0.791308,-0.656333,0.526087,-0.540795,73.820488,324.520294,44.725840,45.773204,346.560333,2.755422,58.171153,333.373761,37.837605,91.053185,287.824005,54.350092,81.783452,280.452277,53.126743,2
84.479752,288.700806,22.267893,-0.142525,0.612403,0.777592,-0.664660,0.522915,-0.533655,72.819052,330.161963,41.067409,43.742841,350.894141,-3.434388,41.180042,349.466553,19.408881,90.248386,294.454272,50.754164,80.566226,286.925659,50.592229,2
81.277115,299.201355,16.064674,-0.181882,0.588892,0.787480,-0.644015,0.533839,-0.547961,68.056918,340.579797,35.881282,41.139949,361.753772,-9.534111,25.400140,358.361243,-6.951281,84.098831,303.443640,46.066737,74.232895,295.412512,45.757649,2
79.047081,307.896484,10.058797,-0.160553,0.601655,0.782454,-0.619153,0.555981,-0.554558,67.152098,349.736060,30.915406,41.964864,372.275415,-16.827274,23.996018,367.232471,-19.617136,80.360497,312.925244,40.663871,71.169365,305.341431,39.734437,2
77.671272,309.107208,7.116255,-0.141393,0.593920,0.792002,-0.607915,0.579332,-0.542968,66.633565,350.460455,28.879156,40.806194,374.341510,-14.647216,25.486092,372.973151,-13.478040,79.165956,314.153180,38.117200,69.633418,306.727960,36.841632,2
74.143929,307.356537,3.432934,-0.124188,0.627230,0.768869,-0.644755,0.537981,-0.543016,63.070421,349.475287,23.172077,36.067207,371.678290,-13.348136,24.474456,373.012225,-11.184068,77.079756,313.111224,33.776080,67.573579,305.639618,33.356582,2
69.592789,300.497253,-1.765684,-0.141123,0.653427,0.743719,-0.669016,0.490794,-0.558157,57.446371,343.249475,16.125185,29.677100,363.589392,-21.967758,20.199984,364.941467,-15.301822,72.901224,306.369519,27.655627,63.396368,299.044543,27.877277,2
66.284935,291.505859,-5.747386,-0.142973,0.685573,0.713827,-0.689050,0.448787,-0.569034,54.168053,335.456836,10.814519,26.539189,354.532520,-26.455910,15.218985,354.005225,-21.925021,70.254295,298.146777,23.067483,60.780537,290.859375,23.881092,2
63.976242,280.856445,-7.947293,-0.156357,0.699420,0.697398,-0.710726,0.410641,-0.571177,52.378503,326.720654,5.511367,23.127516,343.374487,-27.136579,10.485180,341.820435,-23.881243,68.965897,287.788647,19.978413,59.077908,280.208154,21.571834,2
61.347839,270.341858,-10.314116,-0.161165,0.709422,0.686109,-0.722005,0.389212,-0.572034,50.628323,317.921082,0.181886,20.570844,332.990540,-28.334399,7.004736,330.685852,-26.182054,67.014142,277.734021,16.991337,56.891757,269.850867,19.208742,2
57.867954,254.339996,-14.695617,-0.172569,0.701479,0.691482,-0.715408,0.393284,-0.577511,47.306327,301.621686,-4.288415,17.736761,317.657672,-33.349615,1.526303,313.090509,-34.733035,64.062745,262.103888,12.038747,53.227753,253.509515,14.889095,2
53.391144,227.808655,-21.577614,-0.133267,0.771785,0.621762,-0.721561,0.354509,-0.594705,43.923114,275.834363,-16.577530,10.964962,287.302649,-45.897655,-3.458116,284.605359,-44.439986,60.816907,237.924609,3.201672,49.664697,229.499915,7.866384,2
52.359539,215.403076,-24.941364,-0.197466,0.747910,0.633749,-0.694261,0.349724,-0.629043,40.922057,262.992236,-19.267591,8.185440,272.943823,-49.694581,-5.626785,270.354932,-48.344474,57.823748,224.754224,0.332013,46.854354,215.977393,4.039180,2
51.420406,193.315811,-27.149164,-0.243284,0.786351,0.567860,-0.745247,0.223178,-0.628330,36.741372,241.403946,-27.889612,1.586094,244.398734,-48.827987,6.073688,251.974539,-30.765097,57.081423,205.528641,-3.033255,48.907998,197.397379,-0.953714,2
51.847889,179.792191,-27.851759,-0.281817,0.797413,0.533584,-0.764959,0.148951,-0.626619,35.273351,226.902457,-32.751669,0.049556,228.285526,-49.971087,8.318034,237.832547,-28.561792,57.034098,193.733621,-4.310236,50.609257,186.292215,-5.001533,2
51.827183,167.608658,-28.258717,-0.323718,0.799956,0.505249,-0.773074,0.084243,-0.628696,34.915681,215.002579,-39.419096,-2.014700,212.853812,-50.153312,40.796894,207.723965,-14.170986,55.999610,182.934549,-5.267542,50.061765,175.157645,-5.656301,2
50.898640,153.818390,-29.064608,-0.320908,0.826309,0.462851,-0.772918,0.053954,-0.632208,37.606074,202.654999,-47.033091,0.441743,200.235504,-48.211814,52.112324,184.998029,-13.800473,54.594752,170.612152,-7.035484,48.662434,162.849408,-7.005215,2
50.883553,145.470200,-28.159470,-0.320745,0.837247,0.442877,-0.786568,0.025042,-0.616996,38.669362,194.384579,-50.164850,4.066182,192.181320,-43.042526,55.659587,173.563718,-13.419704,54.688362,162.991257,-6.845049,48.772798,155.214059,-6.433423,2
49.808643,138.264435,-26.873722,-0.300542,0.850579,0.431496,-0.803313,0.018143,-0.595281,39.080302,187.431207,-51.799583,17.764558,181.888068,-37.345701,56.901447,164.560748,-12.950478,54.154398,156.138104,-6.238588,48.252061,148.469183,-4.959549,2
49.776852,132.667007,-25.783934,-0.329409,0.820095,0.467903,-0.831920,-0.017726,-0.554613,37.012453,180.860220,-52.555898,19.777642,170.682925,-34.567779,57.114086,157.747476,-11.612922,54.148705,149.894058,-5.071228,48.491543,141.688187,-2.144413,2
